cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1653673357-PODAAC,20030209-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030209v7-v01.nc,PODAAC,1,2019-11-07T20:21:36Z,2012-01-08T05:58:40.090Z,REMSS-L2P_GRIDDED_25-WSAT,20030209-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030209v7-v01.nc,2.213918685913086,,Unspecified,2003-02-09T00:00:00.000Z,2003-02-10T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653663881-PODAAC,20030210-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030210v7-v01.nc,PODAAC,1,2019-11-07T19:55:09Z,2012-01-08T05:51:36.060Z,REMSS-L2P_GRIDDED_25-WSAT,20030210-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030210v7-v01.nc,3.018490791320801,,Unspecified,2003-02-10T00:00:00.000Z,2003-02-11T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653689164-PODAAC,20030211-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030211v7-v01.nc,PODAAC,1,2019-11-07T20:55:04Z,2012-01-08T05:52:21.847Z,REMSS-L2P_GRIDDED_25-WSAT,20030211-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030211v7-v01.nc,2.6595888137817383,,Unspecified,2003-02-11T00:00:00.000Z,2003-02-12T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653661800-PODAAC,20030212-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030212v7-v01.nc,PODAAC,1,2019-11-07T19:47:37Z,2012-01-08T05:59:19.079Z,REMSS-L2P_GRIDDED_25-WSAT,20030212-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030212v7-v01.nc,3.2152843475341797,,Unspecified,2003-02-12T00:00:00.000Z,2003-02-12T23:48:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653687361-PODAAC,20030213-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030213v7-v01.nc,PODAAC,1,2019-11-07T20:52:18Z,2012-01-08T05:58:12.253Z,REMSS-L2P_GRIDDED_25-WSAT,20030213-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030213v7-v01.nc,3.2267932891845703,,Unspecified,2003-02-13T00:00:00.000Z,2003-02-14T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653663393-PODAAC,20030214-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030214v7-v01.nc,PODAAC,1,2019-11-07T19:53:07Z,2012-01-08T05:58:29.955Z,REMSS-L2P_GRIDDED_25-WSAT,20030214-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030214v7-v01.nc,2.9800167083740234,,Unspecified,2003-02-14T00:00:00.000Z,2003-02-15T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653687333-PODAAC,20030215-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030215v7-v01.nc,PODAAC,1,2019-11-07T20:52:17Z,2012-01-08T05:55:55.143Z,REMSS-L2P_GRIDDED_25-WSAT,20030215-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030215v7-v01.nc,3.1939449310302734,,Unspecified,2003-02-15T00:00:00.000Z,2003-02-16T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653662388-PODAAC,20030216-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030216v7-v01.nc,PODAAC,1,2019-11-07T19:50:45Z,2012-01-08T06:00:58.056Z,REMSS-L2P_GRIDDED_25-WSAT,20030216-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030216v7-v01.nc,2.8406524658203125,,Unspecified,2003-02-16T00:00:00.000Z,2003-02-17T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653691528-PODAAC,20030217-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030217v7-v01.nc,PODAAC,1,2019-11-07T20:59:35Z,2012-01-08T06:02:10.910Z,REMSS-L2P_GRIDDED_25-WSAT,20030217-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030217v7-v01.nc,3.063793182373047,,Unspecified,2003-02-17T00:00:00.000Z,2003-02-17T23:54:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653673261-PODAAC,20030218-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030218v7-v01.nc,PODAAC,1,2019-11-07T20:21:04Z,2012-01-08T06:00:44.084Z,REMSS-L2P_GRIDDED_25-WSAT,20030218-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030218v7-v01.nc,3.233668327331543,,Unspecified,2003-02-18T00:00:00.000Z,2003-02-18T23:48:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653674075-PODAAC,20030219-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030219v7-v01.nc,PODAAC,1,2019-11-07T20:24:46Z,2012-01-08T05:52:59.574Z,REMSS-L2P_GRIDDED_25-WSAT,20030219-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030219v7-v01.nc,2.5153045654296875,,Unspecified,2003-02-19T00:06:00.000Z,2003-02-20T00:00:24.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653667201-PODAAC,20030220-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030220v7-v01.nc,PODAAC,1,2019-11-07T20:03:49Z,2012-01-08T05:56:10.803Z,REMSS-L2P_GRIDDED_25-WSAT,20030220-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030220v7-v01.nc,2.491819381713867,,Unspecified,2003-02-20T00:00:00.000Z,2003-02-20T23:54:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653673849-PODAAC,20030221-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030221v7-v01.nc,PODAAC,1,2019-11-07T20:23:09Z,2012-01-08T06:01:55.887Z,REMSS-L2P_GRIDDED_25-WSAT,20030221-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030221v7-v01.nc,2.859889030456543,,Unspecified,2003-02-21T00:06:00.000Z,2003-02-22T00:00:24.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653688034-PODAAC,20030222-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030222v7-v01.nc,PODAAC,1,2019-11-07T20:53:01Z,2012-01-08T05:57:28.898Z,REMSS-L2P_GRIDDED_25-WSAT,20030222-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030222v7-v01.nc,3.2262964248657227,,Unspecified,2003-02-22T00:00:00.000Z,2003-02-23T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653672723-PODAAC,20030223-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030223v7-v01.nc,PODAAC,1,2019-11-07T20:18:37Z,2012-01-09T19:12:36.576Z,REMSS-L2P_GRIDDED_25-WSAT,20030223-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030223v7-v01.nc,2.8540449142456055,,Unspecified,2003-02-23T00:00:00.000Z,2003-02-23T23:48:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653687675-PODAAC,20030224-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030224v7-v01.nc,PODAAC,1,2019-11-07T20:52:39Z,2012-01-08T06:00:30.626Z,REMSS-L2P_GRIDDED_25-WSAT,20030224-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030224v7-v01.nc,3.221419334411621,,Unspecified,2003-02-24T00:00:00.000Z,2003-02-24T23:42:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653672703-PODAAC,20030225-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030225v7-v01.nc,PODAAC,1,2019-11-07T20:18:28Z,2012-01-08T05:58:21.135Z,REMSS-L2P_GRIDDED_25-WSAT,20030225-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030225v7-v01.nc,2.5128583908081055,,Unspecified,2003-02-25T00:00:00.000Z,2003-02-26T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653672893-PODAAC,20030226-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030226v7-v01.nc,PODAAC,1,2019-11-07T20:19:31Z,2012-01-08T05:53:17.970Z,REMSS-L2P_GRIDDED_25-WSAT,20030226-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030226v7-v01.nc,2.548999786376953,,Unspecified,2003-02-26T00:00:00.000Z,2003-02-26T19:48:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653672826-PODAAC,20030227-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030227v7-v01.nc,PODAAC,1,2019-11-07T20:19:11Z,2012-01-08T05:59:30.634Z,REMSS-L2P_GRIDDED_25-WSAT,20030227-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030227v7-v01.nc,2.759641647338867,,Unspecified,2003-02-27T04:00:00.000Z,2003-02-28T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653673414-PODAAC,20030228-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030228v7-v01.nc,PODAAC,1,2019-11-07T20:21:59Z,2012-01-08T06:46:52.974Z,REMSS-L2P_GRIDDED_25-WSAT,20030228-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030228v7-v01.nc,1.99957275390625,,Unspecified,2003-02-28T00:00:00.000Z,2003-03-01T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653689376-PODAAC,20030301-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030301v7-v01.nc,PODAAC,1,2019-11-07T20:56:12Z,2012-01-08T05:54:32.924Z,REMSS-L2P_GRIDDED_25-WSAT,20030301-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030301v7-v01.nc,2.8231592178344727,,Unspecified,2003-03-01T00:06:00.000Z,2003-03-02T00:00:24.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653689301-PODAAC,20030302-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030302v7-v01.nc,PODAAC,1,2019-11-07T20:55:54Z,2012-01-08T05:54:47.364Z,REMSS-L2P_GRIDDED_25-WSAT,20030302-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030302v7-v01.nc,2.8044137954711914,,Unspecified,2003-03-02T00:00:00.000Z,2003-03-02T23:42:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653663506-PODAAC,20030303-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030303v7-v01.nc,PODAAC,1,2019-11-07T19:53:15Z,2012-01-08T05:58:58.900Z,REMSS-L2P_GRIDDED_25-WSAT,20030303-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030303v7-v01.nc,2.7387304306030273,,Unspecified,2003-03-03T00:00:00.000Z,2003-03-03T21:06:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653671194-PODAAC,20030304-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030304v7-v01.nc,PODAAC,1,2019-11-07T20:14:07Z,2012-01-09T04:46:46.746Z,REMSS-L2P_GRIDDED_25-WSAT,20030304-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030304v7-v01.nc,3.1026735305786133,,Unspecified,2003-03-04T00:54:00.000Z,2003-03-04T23:54:24.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653687911-PODAAC,20030305-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030305v7-v01.nc,PODAAC,1,2019-11-07T20:52:56Z,2012-01-08T05:57:41.476Z,REMSS-L2P_GRIDDED_25-WSAT,20030305-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030305v7-v01.nc,3.1845703125,,Unspecified,2003-03-05T00:00:00.000Z,2003-03-06T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653691518-PODAAC,20030306-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030306v7-v01.nc,PODAAC,1,2019-11-07T20:59:31Z,2012-01-08T06:01:31.917Z,REMSS-L2P_GRIDDED_25-WSAT,20030306-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030306v7-v01.nc,2.5559139251708984,,Unspecified,2003-03-06T00:00:00.000Z,2003-03-06T23:54:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653673335-PODAAC,20030307-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030307v7-v01.nc,PODAAC,1,2019-11-07T20:21:27Z,2012-01-08T05:54:19.262Z,REMSS-L2P_GRIDDED_25-WSAT,20030307-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030307v7-v01.nc,3.054006576538086,,Unspecified,2003-03-07T00:00:00.000Z,2003-03-07T23:54:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653672741-PODAAC,20030308-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030308v7-v01.nc,PODAAC,1,2019-11-07T20:18:43Z,2012-01-09T02:10:35.152Z,REMSS-L2P_GRIDDED_25-WSAT,20030308-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030308v7-v01.nc,3.2090225219726562,,Unspecified,2003-03-08T00:06:00.000Z,2003-03-09T00:00:24.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653672755-PODAAC,20030309-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030309v7-v01.nc,PODAAC,1,2019-11-07T20:18:48Z,2012-01-08T05:58:50.470Z,REMSS-L2P_GRIDDED_25-WSAT,20030309-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030309v7-v01.nc,2.9746246337890625,,Unspecified,2003-03-09T00:00:00.000Z,2003-03-10T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653673212-PODAAC,20030310-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030310v7-v01.nc,PODAAC,1,2019-11-07T20:20:50Z,2012-01-08T19:45:09.105Z,REMSS-L2P_GRIDDED_25-WSAT,20030310-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030310v7-v01.nc,3.177194595336914,,Unspecified,2003-03-10T00:00:00.000Z,2003-03-11T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653688721-PODAAC,20030311-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030311v7-v01.nc,PODAAC,1,2019-11-07T20:53:41Z,2012-01-08T06:02:24.243Z,REMSS-L2P_GRIDDED_25-WSAT,20030311-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030311v7-v01.nc,3.208756446838379,,Unspecified,2003-03-11T00:00:00.000Z,2003-03-12T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653674079-PODAAC,20030312-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030312v7-v01.nc,PODAAC,1,2019-11-07T20:24:47Z,2012-01-08T05:57:52.186Z,REMSS-L2P_GRIDDED_25-WSAT,20030312-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030312v7-v01.nc,1.7958650588989258,,Unspecified,2003-03-12T00:00:00.000Z,2003-03-12T15:48:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653674071-PODAAC,20030313-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030313v7-v01.nc,PODAAC,1,2019-11-07T20:24:44Z,2012-01-08T05:54:05.010Z,REMSS-L2P_GRIDDED_25-WSAT,20030313-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030313v7-v01.nc,2.2208900451660156,,Unspecified,2003-03-13T01:36:00.000Z,2003-03-14T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653690719-PODAAC,20030314-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030314v7-v01.nc,PODAAC,1,2019-11-07T20:58:13Z,2012-01-08T05:58:02.035Z,REMSS-L2P_GRIDDED_25-WSAT,20030314-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030314v7-v01.nc,3.2352685928344727,,Unspecified,2003-03-14T00:00:00.000Z,2003-03-15T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653667385-PODAAC,20030315-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030315v7-v01.nc,PODAAC,1,2019-11-07T20:04:38Z,2012-01-09T19:13:03.566Z,REMSS-L2P_GRIDDED_25-WSAT,20030315-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030315v7-v01.nc,2.494643211364746,,Unspecified,2003-03-15T00:00:00.000Z,2003-03-16T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653662547-PODAAC,20030316-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030316v7-v01.nc,PODAAC,1,2019-11-07T19:51:38Z,2012-01-08T05:53:38.092Z,REMSS-L2P_GRIDDED_25-WSAT,20030316-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030316v7-v01.nc,2.615260124206543,,Unspecified,2003-03-16T00:00:00.000Z,2003-03-17T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653663368-PODAAC,20030317-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030317v7-v01.nc,PODAAC,1,2019-11-07T19:53:06Z,2012-01-08T23:21:13.113Z,REMSS-L2P_GRIDDED_25-WSAT,20030317-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030317v7-v01.nc,3.1564130783081055,,Unspecified,2003-03-17T00:00:00.000Z,2003-03-18T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653672666-PODAAC,20030318-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030318v7-v01.nc,PODAAC,1,2019-11-07T20:18:24Z,2012-01-09T04:44:34.148Z,REMSS-L2P_GRIDDED_25-WSAT,20030318-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030318v7-v01.nc,2.4120521545410156,,Unspecified,2003-03-18T00:00:00.000Z,2003-03-19T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653689171-PODAAC,20030319-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030319v7-v01.nc,PODAAC,1,2019-11-07T20:55:07Z,2012-01-08T05:51:57.346Z,REMSS-L2P_GRIDDED_25-WSAT,20030319-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030319v7-v01.nc,2.780874252319336,,Unspecified,2003-03-19T00:00:00.000Z,2003-03-19T23:48:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653663813-PODAAC,20030320-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030320v7-v01.nc,PODAAC,1,2019-11-07T19:54:51Z,2012-01-08T05:57:18.264Z,REMSS-L2P_GRIDDED_25-WSAT,20030320-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030320v7-v01.nc,3.20172119140625,,Unspecified,2003-03-20T00:06:00.000Z,2003-03-21T00:00:24.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653662462-PODAAC,20030321-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030321v7-v01.nc,PODAAC,1,2019-11-07T19:51:10Z,2012-01-09T02:42:15.827Z,REMSS-L2P_GRIDDED_25-WSAT,20030321-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030321v7-v01.nc,2.552957534790039,,Unspecified,2003-03-21T00:00:00.000Z,2003-03-21T23:54:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653691495-PODAAC,20030322-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030322v7-v01.nc,PODAAC,1,2019-11-07T20:59:23Z,2012-01-08T05:52:35.537Z,REMSS-L2P_GRIDDED_25-WSAT,20030322-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030322v7-v01.nc,3.159482955932617,,Unspecified,2003-03-22T00:06:00.000Z,2003-03-23T00:00:24.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653667205-PODAAC,20030323-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030323v7-v01.nc,PODAAC,1,2019-11-07T20:03:50Z,2012-01-08T06:02:03.574Z,REMSS-L2P_GRIDDED_25-WSAT,20030323-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030323v7-v01.nc,3.212008476257324,,Unspecified,2003-03-23T00:00:00.000Z,2003-03-24T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653689007-PODAAC,20030324-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030324v7-v01.nc,PODAAC,1,2019-11-07T20:54:08Z,2012-01-08T05:55:14.366Z,REMSS-L2P_GRIDDED_25-WSAT,20030324-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030324v7-v01.nc,2.254344940185547,,Unspecified,2003-03-24T00:00:00.000Z,2003-03-24T23:54:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653663838-PODAAC,20030325-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030325v7-v01.nc,PODAAC,1,2019-11-07T19:54:54Z,2012-01-08T06:01:33.366Z,REMSS-L2P_GRIDDED_25-WSAT,20030325-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030325v7-v01.nc,3.2160749435424805,,Unspecified,2003-03-25T00:00:00.000Z,2003-03-25T23:42:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653672910-PODAAC,20030326-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030326v7-v01.nc,PODAAC,1,2019-11-07T20:19:38Z,2012-01-09T09:10:13.377Z,REMSS-L2P_GRIDDED_25-WSAT,20030326-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030326v7-v01.nc,3.2039146423339844,,Unspecified,2003-03-26T00:00:00.000Z,2003-03-27T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653673270-PODAAC,20030327-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030327v7-v01.nc,PODAAC,1,2019-11-07T20:21:06Z,2012-01-08T06:01:32.140Z,REMSS-L2P_GRIDDED_25-WSAT,20030327-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030327v7-v01.nc,2.9375181198120117,,Unspecified,2003-03-27T00:00:00.000Z,2003-03-27T23:54:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
granule,G1653690823-PODAAC,20030328-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030328v7-v01.nc,PODAAC,1,2019-11-07T20:58:20Z,2012-01-08T05:54:17.293Z,REMSS-L2P_GRIDDED_25-WSAT,20030328-WSAT-REMSS-L2P_GRIDDED_25-wsat_20030328v7-v01.nc,2.9836339950561523,,Unspecified,2003-03-28T00:00:00.000Z,2003-03-29T00:00:00.000Z,-89.88,89.88,-179.88,179.88,"POLYGON ((179.88 -89.88, 179.88 89.88, -179.88 89.88, -179.88 -89.88, 179.88 -89.88))"
